Fastanúmer;Svæði;Brunabótamat;Lóðamat;Fasteignamat2016;Fasteignamat2017
2261167;MosOgKjalarnes;22900000;2870000;25150000;28100000
2261163;MosOgKjalarnes;22150000;2870000;24850000;27900000
2261168;MosOgKjalarnes;26300000;3310000;28900000;32200000
2261153;MosOgKjalarnes;26400000;3290000;28800000;32050000
2261157;MosOgKjalarnes;28650000;3580000;30950000;34450000
2261152;MosOgKjalarnes;22500000;2870000;25150000;28100000
2261164;MosOgKjalarnes;26050000;3290000;28450000;31850000
2261165;MosOgKjalarnes;31050000;3620000;31700000;35200000
2261158;MosOgKjalarnes;17100000;2400000;20750000;23350000
2261166;MosOgKjalarnes;18650000;2450000;21450000;24100000
2293231;MosOgKjalarnes;15950000;2380000;18800000;20550000
2231910;MosOgKjalarnes;25000000;3140000;27350000;30600000
2233164;MosOgKjalarnes;18100000;2500000;21650000;24350000
2233162;MosOgKjalarnes;21750000;2940000;24450000;27550000
2233168;MosOgKjalarnes;21750000;2970000;25050000;28150000
2233166;MosOgKjalarnes;18000000;2500000;21150000;23850000
2233167;MosOgKjalarnes;17450000;2500000;21100000;23800000
2233165;MosOgKjalarnes;17450000;2500000;21100000;23800000
2239990;MosOgKjalarnes;21800000;2970000;25550000;28650000
2255443;MosOgKjalarnes;32240000;3640000;31350000;34650000
2255444;MosOgKjalarnes;22050000;2690000;23150000;26050000
2255450;MosOgKjalarnes;36290000;4050000;34850000;38600000
2255445;MosOgKjalarnes;18100000;2360000;20300000;22850000
2255451;MosOgKjalarnes;32100000;3710000;32250000;35600000
2257894;MosOgKjalarnes;20800000;1545000;18250000;19150000
2257895;MosOgKjalarnes;20800000;1545000;18250000;19150000
2257896;MosOgKjalarnes;20800000;1545000;18250000;19150000
2258340;MosOgKjalarnes;17050000;2400000;18900000;20600000
2260138;MosOgKjalarnes;22900000;2940000;25900000;28100000
2260151;MosOgKjalarnes;27800000;3380000;29500000;31750000
2260136;MosOgKjalarnes;16000000;2130000;18600000;20250000
2260140;MosOgKjalarnes;22900000;2940000;25900000;28100000
2260137;MosOgKjalarnes;22900000;2940000;25700000;27750000
2260139;MosOgKjalarnes;16050000;2120000;18700000;20500000
2260135;MosOgKjalarnes;22900000;2940000;25700000;27750000
2260142;MosOgKjalarnes;22750000;2940000;26750000;29000000
2260141;MosOgKjalarnes;23800000;3010000;27400000;29650000
2260991;MosOgKjalarnes;24600000;2910000;25400000;28500000
2261175;MosOgKjalarnes;20700000;2800000;24200000;27100000
2261174;MosOgKjalarnes;17000000;2400000;20750000;23350000
2261182;MosOgKjalarnes;18050000;2450000;21450000;24100000
2261176;MosOgKjalarnes;25000000;3260000;28150000;31450000
2261177;MosOgKjalarnes;28350000;3620000;31350000;34950000
2261179;MosOgKjalarnes;22950000;2870000;24850000;27900000
2261181;MosOgKjalarnes;29700000;3620000;31700000;35200000
2261180;MosOgKjalarnes;25050000;3290000;28450000;31850000
2261178;MosOgKjalarnes;18150000;2470000;21350000;24050000
2307117;MosOgKjalarnes;37080000;2880000;29950000;32950000
2307116;MosOgKjalarnes;39630000;3060000;32450000;35600000
2307119;MosOgKjalarnes;31580000;2430000;25500000;28150000
2307120;MosOgKjalarnes;37580000;2930000;30500000;33600000
2312284;MosOgKjalarnes;36410000;3160000;32850000;36200000
2219797;MosOgKjalarnes;22250000;3010000;26100000;29300000
2270823;MosOgKjalarnes;35230000;3130000;31200000;34400000
2279766;MosOgKjalarnes;32320000;3700000;35200000;39150000
2307124;MosOgKjalarnes;40430000;3100000;32900000;36150000
2307125;MosOgKjalarnes;39680000;3070000;32550000;35750000
2287790;MosOgKjalarnes;24650000;2970000;26950000;30200000
2290638;MosOgKjalarnes;39450000;3780000;39000000;43000000
2302017;MosOgKjalarnes;26400000;2900000;26500000;28600000
2355463;MosOgKjalarnes;36600000;3070000;35400000;38700000
2355464;MosOgKjalarnes;36600000;3070000;35400000;38700000
2237967;MosOgKjalarnes;31900000;3780000;32150000;35950000
2283233;MosOgKjalarnes;35940000;3870000;35550000;39550000
2302002;MosOgKjalarnes;26050000;2880000;26350000;28350000
2216883;MosOgKjalarnes;16400000;2220000;17950000;19600000
2216884;MosOgKjalarnes;21950000;2820000;22850000;24800000
2223720;MosOgKjalarnes;27250000;3390000;28000000;30200000
2223721;MosOgKjalarnes;16450000;2260000;18700000;20350000
2233163;MosOgKjalarnes;29750000;3800000;32050000;35750000
2312285;MosOgKjalarnes;35360000;3140000;32600000;35950000
2312286;MosOgKjalarnes;38810000;3420000;36250000;39800000
2236964;MosOgKjalarnes;32250000;3910000;34450000;38250000
2236963;MosOgKjalarnes;24550000;3140000;27600000;30850000
2236968;MosOgKjalarnes;30460000;3570000;31000000;34400000
2236969;MosOgKjalarnes;27750000;3460000;30100000;33700000
2236965;MosOgKjalarnes;32750000;4230000;37350000;41150000
2236962;MosOgKjalarnes;27800000;3470000;30600000;34100000
2236966;MosOgKjalarnes;33510000;3790000;33500000;37000000
2236972;MosOgKjalarnes;28150000;3470000;30500000;34050000
2237968;MosOgKjalarnes;27050000;3340000;28400000;31900000
2237965;MosOgKjalarnes;27050000;3340000;28400000;31900000
2237966;MosOgKjalarnes;28810000;3480000;29600000;32900000
2239982;MosOgKjalarnes;16700000;2410000;20450000;23100000
2239987;MosOgKjalarnes;17350000;2500000;21500000;24200000
2239985;MosOgKjalarnes;21850000;2940000;24950000;28050000
2239989;MosOgKjalarnes;17350000;2500000;21500000;24200000
2239983;MosOgKjalarnes;16700000;2410000;20450000;23100000
2239988;MosOgKjalarnes;17350000;2500000;21500000;24200000
2239986;MosOgKjalarnes;21850000;2980000;25550000;28650000
2239981;MosOgKjalarnes;22900000;2940000;24950000;28050000
2255697;MosOgKjalarnes;29650000;3570000;30600000;34100000
2254935;MosOgKjalarnes;31490000;3670000;31450000;34850000
2254933;MosOgKjalarnes;18000000;2360000;20200000;22700000
2255695;MosOgKjalarnes;20750000;2690000;23050000;25850000
2255696;MosOgKjalarnes;17900000;2350000;20100000;22650000
2254934;MosOgKjalarnes;32250000;3570000;30600000;34100000
2255698;MosOgKjalarnes;26900000;3260000;28250000;31500000
2254932;MosOgKjalarnes;26510000;3120000;26750000;29600000
2254942;MosOgKjalarnes;33050000;3650000;31650000;35150000
2261205;MosOgKjalarnes;26400000;3310000;28900000;32200000
2261202;MosOgKjalarnes;29000000;3620000;31700000;35200000
2261201;MosOgKjalarnes;25150000;3290000;28450000;31850000
2265302;MosOgKjalarnes;18050000;1275000;15500000;16300000
2266726;MosOgKjalarnes;17850000;2410000;21050000;23650000
2266725;MosOgKjalarnes;23350000;3020000;26400000;29500000
2270819;MosOgKjalarnes;36630000;3300000;34400000;37700000
2272977;MosOgKjalarnes;30200000;2980000;29600000;32650000
2279085;MosOgKjalarnes;33800000;3940000;36700000;40800000
2283246;MosOgKjalarnes;24850000;3100000;28100000;31350000
2286705;MosOgKjalarnes;37300000;3480000;36500000;40050000
2287787;MosOgKjalarnes;34860000;3450000;32650000;36350000
2287788;MosOgKjalarnes;39760000;3900000;36750000;40750000
2302001;MosOgKjalarnes;26500000;2890000;26450000;28500000
2302035;MosOgKjalarnes;27700000;3060000;28550000;30750000
2302032;MosOgKjalarnes;26150000;2910000;27150000;29300000
2302033;MosOgKjalarnes;27550000;3030000;28300000;30450000
2302034;MosOgKjalarnes;26000000;2880000;26900000;29050000
2302015;MosOgKjalarnes;27600000;3060000;28000000;30150000
2304743;MosOgKjalarnes;33600000;3090000;30850000;33950000
2306317;MosOgKjalarnes;31350000;2870000;29000000;32000000
2306320;MosOgKjalarnes;38150000;3250000;33650000;36950000
2306318;MosOgKjalarnes;30150000;2800000;28250000;31200000
2306321;MosOgKjalarnes;30150000;2730000;27650000;30550000
2306322;MosOgKjalarnes;31850000;2860000;28900000;31900000
2307121;MosOgKjalarnes;38980000;3030000;32200000;35300000
2312289;MosOgKjalarnes;36110000;3040000;31600000;34700000
2312288;MosOgKjalarnes;35860000;3030000;31400000;34500000
2312287;MosOgKjalarnes;39510000;3340000;35300000;38650000
2320552;MosOgKjalarnes;25560000;2440000;25700000;28450000
2320544;MosOgKjalarnes;25460000;2400000;25300000;27950000
2320561;MosOgKjalarnes;34010000;3120000;33700000;36850000
2320564;MosOgKjalarnes;35660000;3260000;35200000;38450000
2320563;MosOgKjalarnes;27660000;2560000;27800000;30550000
2305868;MosOgKjalarnes;27470000;2240000;25150000;27850000
2305856;MosOgKjalarnes;27020000;2160000;23850000;26350000
2305857;MosOgKjalarnes;34920000;2820000;30750000;33750000
2305870;MosOgKjalarnes;35470000;2870000;32600000;35800000
2305871;MosOgKjalarnes;27470000;2240000;25150000;27800000
2084152;MosOgKjalarnes;19150000;2610000;21000000;22800000
2084983;MosOgKjalarnes;14550000;2160000;17000000;18650000
2085009;MosOgKjalarnes;29600000;3810000;29700000;32150000
2085003;MosOgKjalarnes;26200000;3370000;27400000;29650000
2085010;MosOgKjalarnes;31950000;3810000;30150000;32550000
2085001;MosOgKjalarnes;29600000;3700000;29950000;32400000
2085018;MosOgKjalarnes;31050000;3660000;30400000;32850000
2085014;MosOgKjalarnes;14300000;2190000;16850000;18300000
2085017;MosOgKjalarnes;29800000;3660000;29600000;32100000
2084117;MosOgKjalarnes;25800000;3240000;25800000;27900000
2084116;MosOgKjalarnes;19100000;2610000;20800000;22600000
2083736;MosOgKjalarnes;14000000;1620000;12800000;14050000
2083735;MosOgKjalarnes;20500000;2460000;19450000;21150000
2351305;MosOgKjalarnes;42100000;3470000;40250000;43850000
2083068;MosOgKjalarnes;32830000;3800000;31350000;34800000
2083077;MosOgKjalarnes;25900000;3540000;29000000;32450000
2083074;MosOgKjalarnes;28400000;3430000;29000000;32400000
2083076;MosOgKjalarnes;33750000;4110000;34600000;38650000
2083075;MosOgKjalarnes;28750000;3540000;29250000;32850000
2083073;MosOgKjalarnes;28400000;3430000;29000000;32400000
2083888;MosOgKjalarnes;16100000;2500000;19800000;20750000
2083886;MosOgKjalarnes;17700000;2850000;21900000;22750000
2083885;MosOgKjalarnes;32950000;4350000;37750000;38900000
2083887;MosOgKjalarnes;23000000;3600000;27250000;27850000
2084130;MosOgKjalarnes;22350000;2960000;23300000;25350000
2084134;MosOgKjalarnes;19050000;2610000;20800000;22600000
2084133;MosOgKjalarnes;22350000;2960000;23550000;25500000
2084131;MosOgKjalarnes;19050000;2610000;20550000;22450000
2084135;MosOgKjalarnes;29860000;3570000;28450000;30650000
2084129;MosOgKjalarnes;28900000;3560000;28450000;30750000
2084127;MosOgKjalarnes;22050000;2890000;23100000;25050000
2084132;MosOgKjalarnes;24700000;3240000;25500000;27700000
2084991;MosOgKjalarnes;25200000;3660000;28850000;31200000
2084992;MosOgKjalarnes;25650000;3660000;28800000;31150000
2085000;MosOgKjalarnes;29300000;3700000;28850000;31350000
2084994;MosOgKjalarnes;25550000;3320000;25850000;28000000
2084993;MosOgKjalarnes;25200000;3310000;25250000;27350000
2083631;MosOgKjalarnes;23550000;3180000;24950000;27350000
2083717;MosOgKjalarnes;12550000;1540000;11500000;12800000
2083716;MosOgKjalarnes;12700000;1555000;11600000;12950000
2083715;MosOgKjalarnes;12700000;1555000;11600000;12950000
2083718;MosOgKjalarnes;21350000;2460000;18300000;20250000
2083722;MosOgKjalarnes;17450000;2070000;16150000;17700000
2083714;MosOgKjalarnes;12550000;1540000;11500000;12800000
2083724;MosOgKjalarnes;14000000;1615000;12600000;13900000
2083727;MosOgKjalarnes;18350000;2170000;17150000;18700000
2083723;MosOgKjalarnes;14100000;1655000;12950000;14250000
2083725;MosOgKjalarnes;14000000;1615000;12600000;13900000
2083730;MosOgKjalarnes;14000000;1615000;12750000;14000000
2083728;MosOgKjalarnes;17450000;2070000;16300000;17800000
2083729;MosOgKjalarnes;14100000;1655000;13050000;14350000
2083731;MosOgKjalarnes;14000000;1615000;12750000;14000000
2083733;MosOgKjalarnes;13950000;1615000;12750000;14000000
2084099;MosOgKjalarnes;26170000;2890000;24950000;27700000
2084098;MosOgKjalarnes;20355000;2430000;20750000;23150000
2084097;MosOgKjalarnes;27345000;3040000;25950000;28900000
2084125;MosOgKjalarnes;19100000;2610000;20800000;22600000
2084124;MosOgKjalarnes;22400000;2960000;23550000;25500000
2084120;MosOgKjalarnes;24650000;3170000;25000000;27100000
2084140;MosOgKjalarnes;19050000;2610000;20750000;22650000
2084141;MosOgKjalarnes;25150000;3240000;25750000;27950000
2084122;MosOgKjalarnes;19100000;2610000;20550000;22450000
2084118;MosOgKjalarnes;21950000;2890000;22750000;24750000
2084115;MosOgKjalarnes;22400000;2960000;23550000;25500000
2084123;MosOgKjalarnes;25200000;3240000;25500000;27700000
2084137;MosOgKjalarnes;10650000;1605000;12750000;14050000
2084126;MosOgKjalarnes;25300000;3240000;25800000;27900000
2084138;MosOgKjalarnes;25600000;3170000;25050000;27150000
2084136;MosOgKjalarnes;22800000;2890000;22800000;24800000
2084114;MosOgKjalarnes;25200000;3240000;25500000;27700000
2084121;MosOgKjalarnes;22400000;2960000;23300000;25350000
2084139;MosOgKjalarnes;22350000;2960000;23500000;25550000
2084119;MosOgKjalarnes;11050000;1605000;12700000;14000000
2084143;MosOgKjalarnes;19800000;2610000;20850000;22650000
2084147;MosOgKjalarnes;24700000;3170000;25250000;27350000
2084148;MosOgKjalarnes;22450000;2960000;23500000;25550000
2084149;MosOgKjalarnes;19150000;2610000;20750000;22650000
2084150;MosOgKjalarnes;25250000;3240000;25750000;27950000
2084145;MosOgKjalarnes;22000000;2890000;22950000;24950000
2084144;MosOgKjalarnes;24950000;3240000;25750000;27850000
2084146;MosOgKjalarnes;10850000;1605000;12750000;14050000
2084151;MosOgKjalarnes;22450000;2960000;23750000;25750000
2084153;MosOgKjalarnes;25250000;3240000;26050000;28150000
2084557;MosOgKjalarnes;21150000;2510000;19650000;21650000
2084571;MosOgKjalarnes;17900000;2360000;18600000;20650000
2084555;MosOgKjalarnes;21850000;2510000;19400000;21450000
2084572;MosOgKjalarnes;18650000;2780000;21950000;24250000
2084556;MosOgKjalarnes;30650000;3220000;25550000;27900000
2216882;MosOgKjalarnes;27350000;3340000;27000000;29200000
2216889;MosOgKjalarnes;24800000;3130000;25600000;27600000
2216887;MosOgKjalarnes;16750000;2280000;18450000;20200000
2216891;MosOgKjalarnes;16750000;2280000;18700000;20350000
2216888;MosOgKjalarnes;22200000;2880000;23250000;25300000
2216885;MosOgKjalarnes;24950000;3130000;25300000;27450000
2216890;MosOgKjalarnes;13700000;1915000;15700000;17150000
2216886;MosOgKjalarnes;13700000;1915000;15500000;17050000
2217020;MosOgKjalarnes;26850000;3250000;27600000;29850000
2217018;MosOgKjalarnes;25550000;3020000;25800000;27900000
2217019;MosOgKjalarnes;27800000;3250000;28000000;30200000
2217017;MosOgKjalarnes;25350000;3070000;26100000;28250000
2085007;MosOgKjalarnes;18100000;2500000;20050000;21800000
2085011;MosOgKjalarnes;11550000;1770000;13850000;15250000
2085002;MosOgKjalarnes;26100000;3370000;27100000;29350000
2219796;MosOgKjalarnes;22150000;2960000;25100000;28300000
2233157;MosOgKjalarnes;29750000;3770000;31400000;35150000
2233161;MosOgKjalarnes;17450000;2460000;20450000;23150000
2233160;MosOgKjalarnes;17050000;2410000;20100000;22700000
2233158;MosOgKjalarnes;17450000;2460000;20450000;23150000
2233159;MosOgKjalarnes;17050000;2410000;20100000;22700000
2236971;MosOgKjalarnes;30690000;3590000;31550000;34850000
2237674;MosOgKjalarnes;31490000;3750000;31900000;35300000
2237664;MosOgKjalarnes;20250000;2750000;23150000;26100000
2237663;MosOgKjalarnes;30050000;3710000;31550000;35300000
2237666;MosOgKjalarnes;35240000;4110000;35000000;38650000
2239984;MosOgKjalarnes;17200000;2460000;20850000;23550000
2240851;MosOgKjalarnes;21800000;2970000;25550000;28650000
2240843;MosOgKjalarnes;16950000;2410000;20450000;23100000
2254939;MosOgKjalarnes;31700000;3710000;32100000;35400000
2254940;MosOgKjalarnes;27960000;3290000;28450000;31450000
2254937;MosOgKjalarnes;17450000;2320000;19850000;22400000
2254936;MosOgKjalarnes;21900000;2740000;23500000;26450000
2254938;MosOgKjalarnes;37000000;4050000;34700000;38350000
2255453;MosOgKjalarnes;19800000;2440000;21200000;23850000
2255454;MosOgKjalarnes;36430000;4070000;35450000;39050000
2255681;MosOgKjalarnes;22900000;2850000;24750000;27650000
2255683;MosOgKjalarnes;30950000;3650000;31650000;35150000
2255682;MosOgKjalarnes;18800000;2440000;21100000;23700000
2257893;MosOgKjalarnes;20900000;1545000;18250000;19150000
2257899;MosOgKjalarnes;23950000;1640000;19550000;20450000
2257897;MosOgKjalarnes;23900000;1640000;19550000;20450000
2257898;MosOgKjalarnes;23950000;1640000;19550000;20450000
2257900;MosOgKjalarnes;23900000;1640000;19550000;20450000
2237665;MosOgKjalarnes;32290000;3760000;32000000;35500000
2260131;MosOgKjalarnes;20450000;2700000;23950000;25900000
2260152;MosOgKjalarnes;22650000;2940000;25700000;27750000
2260153;MosOgKjalarnes;15000000;2190000;19150000;20850000
2261161;MosOgKjalarnes;30350000;3620000;32050000;35700000
2261160;MosOgKjalarnes;27200000;3260000;28150000;31450000
2261173;MosOgKjalarnes;27850000;3580000;30950000;34450000
2261183;MosOgKjalarnes;22850000;2870000;25150000;28100000
2261184;MosOgKjalarnes;27050000;3310000;28900000;32200000
2261162;MosOgKjalarnes;18050000;2470000;21350000;24050000
2261195;MosOgKjalarnes;16500000;2400000;20750000;23350000
2261197;MosOgKjalarnes;25550000;3260000;28150000;31450000
2261196;MosOgKjalarnes;21000000;2800000;24200000;27100000
2261198;MosOgKjalarnes;29000000;3620000;31350000;34950000
2261194;MosOgKjalarnes;28450000;3580000;30950000;34450000
2261200;MosOgKjalarnes;20800000;2870000;24850000;27900000
2261199;MosOgKjalarnes;17250000;2470000;21350000;24050000
2264689;MosOgKjalarnes;17750000;1275000;15400000;16150000
2264682;MosOgKjalarnes;17600000;1255000;15000000;15800000
2264688;MosOgKjalarnes;18050000;1250000;15050000;15800000
2265291;MosOgKjalarnes;18050000;1250000;15050000;15800000
2265287;MosOgKjalarnes;14200000;1045000;12450000;13150000
2265288;MosOgKjalarnes;17850000;1255000;15000000;15800000
2265285;MosOgKjalarnes;17850000;1255000;15000000;15800000
2265292;MosOgKjalarnes;18350000;1275000;15400000;16150000
2265286;MosOgKjalarnes;14200000;1045000;12450000;13150000
2265290;MosOgKjalarnes;18050000;1250000;15050000;15800000
2265300;MosOgKjalarnes;14450000;1045000;12550000;13250000
2265298;MosOgKjalarnes;17500000;1255000;15100000;15900000
2265301;MosOgKjalarnes;17500000;1255000;15100000;15900000
2265289;MosOgKjalarnes;18350000;1275000;15400000;16150000
2265299;MosOgKjalarnes;14450000;1045000;12550000;13250000
2231899;MosOgKjalarnes;25580000;3570000;29400000;32750000
2231919;MosOgKjalarnes;30530000;3900000;33500000;37050000
2266703;MosOgKjalarnes;17450000;2370000;20900000;23600000
2266706;MosOgKjalarnes;23050000;3070000;27350000;30600000
2266705;MosOgKjalarnes;26850000;3310000;29200000;32750000
2266710;MosOgKjalarnes;25250000;3290000;29300000;32700000
2266708;MosOgKjalarnes;17700000;2370000;21150000;23750000
2266707;MosOgKjalarnes;18100000;2430000;21700000;24400000
2266704;MosOgKjalarnes;22150000;2860000;25250000;28350000
2266709;MosOgKjalarnes;21800000;2850000;25400000;28450000
2266728;MosOgKjalarnes;22300000;2840000;24750000;27700000
2266729;MosOgKjalarnes;25550000;3210000;28050000;31300000
2266727;MosOgKjalarnes;17450000;2360000;20600000;23150000
2266731;MosOgKjalarnes;17750000;2450000;21400000;24100000
2266732;MosOgKjalarnes;17350000;2370000;20700000;23300000
2266730;MosOgKjalarnes;22400000;3070000;26800000;30000000
2266747;MosOgKjalarnes;17550000;2360000;20600000;23200000
2266748;MosOgKjalarnes;22150000;2830000;24750000;27700000
2266753;MosOgKjalarnes;22250000;2860000;25000000;28000000
2266750;MosOgKjalarnes;24100000;3070000;26800000;30000000
2266751;MosOgKjalarnes;18350000;2450000;21400000;24100000
2266746;MosOgKjalarnes;17950000;2410000;21050000;23650000
2266749;MosOgKjalarnes;26500000;3210000;28050000;31300000
2266745;MosOgKjalarnes;23900000;3020000;26400000;29500000
2266752;MosOgKjalarnes;17700000;2370000;20700000;23300000
2266757;MosOgKjalarnes;17700000;2370000;20950000;23500000
2266758;MosOgKjalarnes;22150000;2850000;25150000;28100000
2267688;MosOgKjalarnes;23700000;3120000;28400000;31850000
2267691;MosOgKjalarnes;32860000;3750000;34200000;38200000
2267682;MosOgKjalarnes;26650000;3450000;30700000;34250000
2267692;MosOgKjalarnes;30060000;3510000;32150000;35950000
2267684;MosOgKjalarnes;29660000;3450000;31550000;35200000
2267681;MosOgKjalarnes;32310000;3700000;33800000;37650000
2267683;MosOgKjalarnes;26310000;3030000;27900000;31200000
2267689;MosOgKjalarnes;30860000;3510000;32850000;36650000
2267686;MosOgKjalarnes;32460000;3760000;34300000;38250000
2267685;MosOgKjalarnes;29300000;3690000;32850000;36650000
2267690;MosOgKjalarnes;34160000;3780000;35250000;39300000
2267687;MosOgKjalarnes;30060000;3510000;32800000;36600000
2267698;MosOgKjalarnes;27310000;3120000;29250000;32800000
2267697;MosOgKjalarnes;31060000;3520000;32850000;36700000
2267694;MosOgKjalarnes;30060000;3520000;32200000;35950000
2267695;MosOgKjalarnes;32710000;3760000;34350000;38350000
2267696;MosOgKjalarnes;33760000;3760000;35050000;39100000
2267693;MosOgKjalarnes;23450000;3120000;27800000;31200000
2270707;MosOgKjalarnes;21200000;2760000;24300000;27200000
2270708;MosOgKjalarnes;17200000;2350000;20700000;23300000
2270709;MosOgKjalarnes;21250000;2770000;24400000;27300000
2270816;MosOgKjalarnes;35290000;3180000;32900000;36200000
2270818;MosOgKjalarnes;33100000;3250000;33100000;36350000
2270720;MosOgKjalarnes;26750000;3270000;29150000;32450000
2270817;MosOgKjalarnes;30400000;3010000;30300000;33450000
2270832;MosOgKjalarnes;36230000;3170000;31550000;34800000
2270830;MosOgKjalarnes;35260000;3100000;30900000;34050000
2270829;MosOgKjalarnes;37110000;3260000;32500000;35750000
2270893;MosOgKjalarnes;35530000;3150000;31350000;34550000
2270894;MosOgKjalarnes;35730000;3160000;31500000;34700000
2271462;MosOgKjalarnes;30650000;2940000;29200000;32250000
2271464;MosOgKjalarnes;30800000;2770000;27800000;30600000
2271463;MosOgKjalarnes;32650000;2970000;29800000;32750000
2271465;MosOgKjalarnes;30900000;2770000;27800000;30600000
2084579;MosOgKjalarnes;30720000;3440000;27800000;30200000
2084578;MosOgKjalarnes;27050000;3130000;24700000;27050000
2084580;MosOgKjalarnes;27050000;3130000;24750000;27200000
2084574;MosOgKjalarnes;28750000;3110000;25700000;28050000
2084576;MosOgKjalarnes;28200000;3130000;24850000;27250000
2084575;MosOgKjalarnes;19900000;2440000;18850000;20850000
2084577;MosOgKjalarnes;20300000;2440000;19150000;21050000
2084582;MosOgKjalarnes;31020000;3470000;27700000;30050000
2084581;MosOgKjalarnes;23070000;2800000;21300000;23350000
2084583;MosOgKjalarnes;20400000;2440000;19150000;21050000
2084989;MosOgKjalarnes;26850000;3660000;28850000;31200000
2085019;MosOgKjalarnes;30200000;3670000;30450000;32650000
2084990;MosOgKjalarnes;25550000;3660000;28800000;31150000
2085020;MosOgKjalarnes;32250000;3670000;30300000;32450000
2277241;MosOgKjalarnes;30500000;3850000;34300000;38150000
2277246;MosOgKjalarnes;33100000;3790000;34650000;38650000
2277247;MosOgKjalarnes;34900000;4030000;36700000;40900000
2277243;MosOgKjalarnes;24450000;3240000;28850000;32300000
2277244;MosOgKjalarnes;22900000;3040000;27000000;30300000
2277245;MosOgKjalarnes;28000000;3300000;30250000;33800000
2277242;MosOgKjalarnes;28800000;3350000;30700000;34350000
2277497;MosOgKjalarnes;29480000;3510000;32450000;36250000
2279087;MosOgKjalarnes;36250000;4270000;40200000;44550000
2083067;MosOgKjalarnes;27950000;3470000;29250000;32700000
2083721;MosOgKjalarnes;18350000;2170000;16950000;18550000
2279776;MosOgKjalarnes;32320000;3750000;35650000;39700000
2279771;MosOgKjalarnes;32420000;3760000;35750000;39800000
2279772;MosOgKjalarnes;29820000;3510000;32700000;36500000
2279775;MosOgKjalarnes;35070000;3780000;36750000;40950000
2279770;MosOgKjalarnes;36240000;3690000;35900000;39950000
2279773;MosOgKjalarnes;23650000;3120000;28300000;31750000
2279769;MosOgKjalarnes;26600000;3450000;31250000;34900000
2279774;MosOgKjalarnes;27500000;3510000;31850000;35600000
2283234;MosOgKjalarnes;34190000;3650000;33650000;37500000
2283237;MosOgKjalarnes;35240000;3950000;36300000;40350000
2283236;MosOgKjalarnes;29790000;3220000;29850000;33350000
2283247;MosOgKjalarnes;34390000;3680000;34300000;38050000
2283235;MosOgKjalarnes;36540000;3930000;36150000;40200000
2283416;MosOgKjalarnes;34050000;3940000;36700000;40800000
2283415;MosOgKjalarnes;34000000;3940000;36700000;40800000
2283417;MosOgKjalarnes;37550000;4270000;40200000;44550000
2283418;MosOgKjalarnes;37600000;4270000;40200000;44550000
2290650;MosOgKjalarnes;37700000;3620000;36550000;40150000
2290648;MosOgKjalarnes;30600000;3010000;31300000;34450000
2290647;MosOgKjalarnes;27900000;2760000;28100000;31050000
2290649;MosOgKjalarnes;37900000;3670000;37950000;41600000
2277150;MosOgKjalarnes;31650000;3140000;33350000;36600000
2277148;MosOgKjalarnes;31450000;3080000;32250000;35500000
2277149;MosOgKjalarnes;31500000;3080000;32300000;35550000
2214138;MosOgKjalarnes;17050000;2390000;19650000;21350000
2302016;MosOgKjalarnes;26450000;2930000;26850000;28900000
2222939;MosOgKjalarnes;21850000;3010000;25600000;28800000
2290643;MosOgKjalarnes;39550000;3730000;38550000;42450000
2290641;MosOgKjalarnes;28650000;2860000;29150000;32350000
2290644;MosOgKjalarnes;38400000;3610000;37250000;40900000
2290642;MosOgKjalarnes;31600000;3080000;32000000;35400000
2290687;MosOgKjalarnes;30950000;3060000;30950000;34300000
2290659;MosOgKjalarnes;28750000;2730000;29050000;32050000
2290662;MosOgKjalarnes;40650000;3670000;38600000;42350000
2290661;MosOgKjalarnes;31500000;2980000;31600000;34800000
2290660;MosOgKjalarnes;28950000;2750000;29200000;32250000
2223727;MosOgKjalarnes;24850000;3180000;26550000;28600000
2223725;MosOgKjalarnes;16800000;2340000;19350000;21100000
2223726;MosOgKjalarnes;22200000;2930000;24200000;26250000
2223723;MosOgKjalarnes;24850000;3180000;26250000;28400000
2223729;MosOgKjalarnes;16950000;2340000;19550000;21250000
2223722;MosOgKjalarnes;21950000;2870000;23700000;25650000
2223724;MosOgKjalarnes;13900000;1975000;16350000;17900000
2223730;MosOgKjalarnes;22300000;2930000;24450000;26400000
2223728;MosOgKjalarnes;14600000;1975000;16750000;18200000
2084528;MosOgKjalarnes;21950000;2030000;17750000;20050000
2306327;MosOgKjalarnes;30300000;2720000;27750000;30550000
2306324;MosOgKjalarnes;30750000;2780000;28400000;31250000
2331356;MosOgKjalarnes;34250000;2860000;32650000;35850000
2331056;MosOgKjalarnes;32090000;2760000;31050000;34000000
2331357;MosOgKjalarnes;41000000;3470000;40250000;43850000
2312290;MosOgKjalarnes;41660000;3570000;37700000;41200000
2312292;MosOgKjalarnes;35210000;3030000;31450000;34650000
2312291;MosOgKjalarnes;41010000;3600000;38050000;41650000
2312297;MosOgKjalarnes;37860000;3150000;32750000;36000000
2312296;MosOgKjalarnes;39760000;3360000;34800000;38250000
2312300;MosOgKjalarnes;39710000;3420000;35850000;39250000
2312299;MosOgKjalarnes;41560000;3620000;38650000;42150000
2236960;MosOgKjalarnes;24500000;3130000;27250000;30600000
2312304;MosOgKjalarnes;36010000;3090000;32450000;35600000
2312302;MosOgKjalarnes;39510000;3390000;36300000;39650000
